"Date","Price","Open","High","Low","Vol.","Change %"
"08/15/2022","143.18","142.80","143.76","141.49","39.01M","-0.26%"
"08/12/2022","143.55","142.05","143.57","140.12","47.64M","2.07%"
"08/11/2022","140.64","143.86","144.49","139.76","44.87M","-1.44%"
"08/10/2022","142.69","142.90","144.60","141.01","54.77M","3.53%"
"08/09/2022","137.83","138.05","138.95","136.21","40.43M","-1.13%"
"08/08/2022","139.41","142.05","144.23","138.29","52.30M","-0.99%"
"08/05/2022","140.80","140.10","142.86","139.60","50.69M","-1.24%"
"08/04/2022","142.57","140.58","143.56","139.55","70.59M","2.19%"
"08/03/2022","139.52","136.21","140.49","136.05","71.83M","4.00%"
"08/02/2022","134.16","134.72","137.44","134.09","61.92M","-0.91%"
"08/01/2022","135.39","134.96","138.83","133.51","76.85M","0.33%"
"07/29/2022","134.95","134.90","137.65","132.41","148.89M","10.36%"
"07/28/2022","122.28","121.57","122.84","118.08","82.25M","1.08%"
"07/27/2022","120.97","117.31","121.90","117.16","61.58M","5.37%"
"07/26/2022","114.81","115.79","118.15","114.53","67.08M","-5.23%"
"07/25/2022","121.14","122.69","123.64","120.03","50.22M","-1.05%"
"07/22/2022","122.42","125.01","125.50","121.35","51.46M","-1.77%"
"07/21/2022","124.63","123.20","124.85","121.26","60.24M","1.52%"
"07/20/2022","122.77","118.61","123.47","118.32","71.27M","3.86%"
"07/19/2022","118.21","115.70","118.95","114.03","60.99M","3.91%"
"07/18/2022","113.76","115.00","117.24","113.15","59.12M","0.18%"
"07/15/2022","113.55","112.50","115.59","111.59","84.32M","2.64%"
"07/14/2022","110.63","110.24","111.18","107.58","51.16M","0.21%"
"07/13/2022","110.40","107.03","111.78","106.01","61.35M","1.08%"
"07/12/2022","109.22","112.16","113.23","108.34","54.28M","-2.26%"
"07/11/2022","111.75","114.08","114.30","110.87","53.54M","-3.28%"
"07/08/2022","115.54","114.60","116.58","113.69","45.72M","-0.68%"
"07/07/2022","116.33","113.85","116.99","113.49","57.87M","1.75%"
"07/06/2022","114.33","113.21","115.48","112.01","66.96M","0.73%"
"07/05/2022","113.50","107.60","114.08","106.32","76.68M","3.60%"
"07/01/2022","109.56","106.29","109.75","105.85","73.02M","3.15%"
