,city,district,region,metro,adress,age_of_construction,rooms_in_flat,rooms_to_rent,apartment_layout,ceiling_height,restroom,bathroom,remont,window_view,floor_of_flat,height,to_metro,type_of_way,price,kitchen_size,room_size,building_age,share_in_flat,remont_scale,price_per_square
43,Москва,ЮЗАО,р-н Ломоносовский,Университет,улица Панферова 4,2013.0,3.0,1.0,Изолированная,3.0,2 раздельных,Есть,Евроремонт,2.0,16.0,24.0,10.0,пешком,23000,12.0,17.0,8.0,0.3333333333333333,2,1352.9411764705883
44,Москва,САО,р-н Савеловский,Дмитровская,Бутырская улица 97,1968.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Дизайнерский,,2.0,9.0,1.0,пешком,30000,9.235539215686275,13.0,53.0,0.3333333333333333,3,2307.6923076923076
45,Москва,ЦАО,р-н Тверской,Белорусская,1-я Тверская-Ямская улица 28,2015.0,2.0,1.0,,,1 раздельный,Есть,Косметический,,4.0,8.0,4.0,пешком,22000,12.0,16.0,6.0,0.5,1,1375.0
46,Москва,ЗАО,р-н Тропарево-Никулино,Юго-Западная,улица Покрышкина 11,2001.0,4.0,1.0,Изолированная,,1 раздельный,Есть,Дизайнерский,,6.0,22.0,12.0,пешком,32000,9.235539215686275,17.0,20.0,0.25,3,1882.3529411764705
47,Москва,ВАО,р-н Измайлово,Первомайская,Верхняя Первомайская улица 24/17,1951.0,3.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,,1.0,5.0,9.0,пешком,19000,8.0,16.0,70.0,0.3333333333333333,1,1187.5
48,Москва,ЗАО,р-н Ново-Переделкино,Новопеределкино,улица 4-я Новые Сады 5,2001.0,2.0,1.0,,3.2,1 раздельный,Есть,Дизайнерский,2.0,2.0,3.0,18.0,пешком,110000,9.235539215686275,50.0,20.0,0.5,3,2200.0
49,Москва,САО,р-н Дмитровский,Селигерская,Коровинское шоссе 36К1,1982.0,2.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,,9.0,16.0,604.67078125,на транспорте,16000,9.0,12.0,39.0,0.5,1,1333.3333333333333
50,Москва,СВАО,р-н Северное Медведково,Медведково,Широкая улица 13К1,1968.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,9.0,9.0,3.0,пешком,20000,7.0,17.0,53.0,0.3333333333333333,1,1176.4705882352941
51,Москва,САО,р-н Коптево,Окружная,Большая Академическая улица 73К1,1967.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,7.0,9.0,20.0,пешком,20000,7.0,14.0,54.0,0.3333333333333333,1,1428.5714285714287
52,Москва,ЮВАО,р-н Некрасовка,Некрасовка,улица Липчанского 2,2016.0,3.0,1.0,,2.74,1 раздельный,Есть,Косметический,,12.0,17.0,4.0,пешком,21000,15.0,15.0,5.0,0.3333333333333333,1,1400.0
53,Москва,ЮАО,р-н Даниловский,Павелецкая,Дербеневская улица 18,1900.0,4.0,1.0,Изолированная,,1 совмещенный,,Дизайнерский,,2.0,5.0,18.0,пешком,22000,10.0,14.0,121.0,0.25,3,1571.4285714285713
54,Москва,ЗАО,р-н Можайский,Молодежная,Беловежская улица 19,1968.0,4.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,1.0,16.0,604.67078125,на транспорте,15000,9.0,9.0,53.0,0.25,1,1666.6666666666667
55,Москва,СВАО,р-н Северный,Новодачная,Дмитровское шоссе 165Дк4,2008.0,2.0,1.0,Изолированная,3.0,1 раздельный,Есть,Евроремонт,,8.0,17.0,18.0,пешком,13000,7.0,13.0,13.0,0.5,2,1000.0
56,Москва,ЮАО,р-н Царицыно,Кантемировская,Кавказский бульвар 34К1,1958.0,3.0,1.0,,,1 совмещенный,,Косметический,,5.0,5.0,10.0,пешком,16000,7.0,15.0,63.0,0.3333333333333333,1,1066.6666666666667
57,Москва,ЗелАО,р-н Старое Крюково,Крюково,мкр. 8-й к841,2004.0,3.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,4.0,14.0,7.0,пешком,12000,9.0,12.0,17.0,0.3333333333333333,1,1000.0
58,Москва,ЮАО,р-н Братеево,Борисово,Братеевская улица 23К1,1986.0,3.0,1.0,,2.64,1 раздельный,Есть,Косметический,2.0,4.0,14.0,9.0,пешком,16000,10.0,16.0,35.0,0.3333333333333333,1,1000.0
